ERROR 2020-11-04 19:39:54,857 exception 74 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-11-04 19:39:54,952 basehttp 124 "GET / HTTP/1.1" 400 68228
ERROR 2020-11-04 19:39:55,229 exception 74 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-11-04 19:39:55,275 basehttp 124 "GET /favicon.ico HTTP/1.1" 400 68141
ERROR 2020-11-04 19:40:03,713 exception 74 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-11-04 19:40:03,753 basehttp 124 "GET /admin/ HTTP/1.1" 400 68422
ERROR 2020-11-04 19:40:04,667 exception 74 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-11-04 19:40:04,703 basehttp 124 "GET /favicon.ico HTTP/1.1" 400 68147
INFO 2020-11-04 19:41:57,604 basehttp 124 "GET /admin/ HTTP/1.1" 200 4366
INFO 2020-11-04 19:41:57,654 basehttp 124 "GET /static/xadmin/vendor/font-awesome/css/font-awesome.css HTTP/1.1" 200 21658
INFO 2020-11-04 19:41:57,655 basehttp 124 "GET /static/xadmin/css/themes/bootstrap-xadmin.css HTTP/1.1" 200 1888
INFO 2020-11-04 19:41:57,660 basehttp 124 "GET /static/xadmin/css/xadmin.plugins.css HTTP/1.1" 200 175
INFO 2020-11-04 19:41:57,660 basehttp 124 "GET /static/xadmin/css/xadmin.responsive.css HTTP/1.1" 200 4361
INFO 2020-11-04 19:41:57,661 basehttp 124 "GET /static/xadmin/css/xadmin.main.css HTTP/1.1" 200 8376
INFO 2020-11-04 19:41:57,663 basehttp 124 "GET /static/xadmin/vendor/bootstrap/css/bootstrap.css HTTP/1.1" 200 126432
INFO 2020-11-04 19:41:57,682 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.core.js HTTP/1.1" 200 8195
INFO 2020-11-04 19:41:57,693 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.sortable.js HTTP/1.1" 200 42543
INFO 2020-11-04 19:41:57,693 basehttp 124 "GET /static/xadmin/js/xadmin.main.js HTTP/1.1" 200 3401
INFO 2020-11-04 19:41:57,694 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.mouse.js HTTP/1.1" 200 4561
INFO 2020-11-04 19:41:57,695 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 4373
INFO 2020-11-04 19:41:57,699 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.effect.js HTTP/1.1" 200 31918
INFO 2020-11-04 19:41:57,699 basehttp 124 "GET /static/xadmin/vendor/bootstrap/js/bootstrap.js HTTP/1.1" 200 58327
INFO 2020-11-04 19:41:57,707 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.themes.js HTTP/1.1" 200 3489
INFO 2020-11-04 19:41:57,707 basehttp 124 "GET /static/xadmin/js/xadmin.responsive.js HTTP/1.1" 200 4165
INFO 2020-11-04 19:41:57,708 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.widget.js HTTP/1.1" 200 15069
INFO 2020-11-04 19:41:57,710 basehttp 124 "GET /static/xadmin/vendor/jquery/jquery.js HTTP/1.1" 200 240196
INFO 2020-11-04 19:41:57,806 basehttp 124 "GET /static/xadmin/vendor/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 200 44432
WARNING 2020-11-04 19:41:57,840 base 93 Not Found: /favicon.ico
WARNING 2020-11-04 19:41:57,840 basehttp 124 "GET /favicon.ico HTTP/1.1" 404 2210
INFO 2020-11-04 19:42:12,474 basehttp 124 "POST /admin/ HTTP/1.1" 302 0
INFO 2020-11-04 19:42:23,203 basehttp 124 "GET /admin/ HTTP/1.1" 200 14796
INFO 2020-11-04 19:42:23,242 basehttp 124 "GET /static/xadmin/css/xadmin.page.dashboard.css HTTP/1.1" 200 790
INFO 2020-11-04 19:42:23,244 basehttp 124 "GET /static/xadmin/js/xadmin.page.dashboard.js HTTP/1.1" 200 3208
INFO 2020-11-04 19:42:23,245 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.portal.js HTTP/1.1" 200 1000
INFO 2020-11-04 19:42:27,272 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-11-04 19:42:42,438 basehttp 124 "POST /admin/settings/user HTTP/1.1" 200 0
INFO 2020-11-04 19:42:53,175 basehttp 124 "POST /admin/settings/user HTTP/1.1" 200 0
INFO 2020-11-04 19:43:03,210 basehttp 124 "POST /admin/settings/user HTTP/1.1" 200 0
INFO 2020-11-04 19:43:13,333 basehttp 124 "POST /admin/settings/user HTTP/1.1" 200 0
INFO 2020-11-04 19:43:26,420 basehttp 124 "POST /admin/settings/user HTTP/1.1" 200 0
INFO 2020-11-04 19:43:35,020 basehttp 124 "POST /admin/settings/user HTTP/1.1" 200 0
INFO 2020-11-04 19:43:47,297 basehttp 124 "POST /admin/settings/user HTTP/1.1" 200 0
INFO 2020-11-04 19:43:57,732 basehttp 124 "POST /admin/settings/user HTTP/1.1" 200 0
INFO 2020-11-04 19:44:15,469 basehttp 124 "GET /admin/home/banner/ HTTP/1.1" 200 24636
INFO 2020-11-04 19:44:15,504 basehttp 124 "GET /static/xadmin/css/xadmin.form.css HTTP/1.1" 200 3763
INFO 2020-11-04 19:44:15,517 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.bookmark.js HTTP/1.1" 200 529
INFO 2020-11-04 19:44:15,518 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.details.js HTTP/1.1" 200 2319
INFO 2020-11-04 19:44:15,518 basehttp 124 "GET /static/xadmin/js/xadmin.page.list.js HTTP/1.1" 200 1105
INFO 2020-11-04 19:44:15,519 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.filters.js HTTP/1.1" 200 1990
INFO 2020-11-04 19:44:15,520 basehttp 124 "GET /static/xadmin/js/xadmin.page.form.js HTTP/1.1" 200 1948
INFO 2020-11-04 19:44:19,538 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-11-04 20:04:39,859 basehttp 124 "GET /admin/home/banner/add/ HTTP/1.1" 200 19832
